,City,Country,Local Date,Latitude,Longitude,Max Daily Temperature (°F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Te Anau,NZ,2019-3-31 12:25,-45.41,167.72,51.55,86,68,18.03
1,Barrow,AR,2019-3-31 12:22,-38.31,-60.23,83.5,38,12,7.74
2,Albany,US,2019-3-31 12:22,42.65,-73.75,44.01,100,90,6.93
3,Ilulissat,GL,2019-3-31 11:50,69.22,-51.1,17.6,61,75,13.87
4,Lahat,ID,2019-3-31 12:27,-3.78,103.55,71.8,98,88,4.72
5,Bluff,AU,2019-3-31 12:17,-23.58,149.07,54.61,62,0,9.42
6,Hithadhoo,MV,2019-3-31 12:24,-0.6,73.08,83.86,100,12,5.95
7,Los Llanos de Aridane,ES,2019-3-31 12:21,28.66,-17.92,68.0,60,40,4.7
8,Blackwater,GB,2019-3-31 12:30,51.33,-0.78,52.0,57,0,17.22
9,Yaan,NG,2019-3-31 12:30,7.38,8.57,90.16,57,44,2.82
10,Mataura,NZ,2019-3-31 12:20,-46.19,168.86,63.0,74,36,3.0
11,Dikson,RU,2019-3-31 12:25,73.51,80.55,29.5,94,44,22.06
12,Paso de los Toros,UY,2019-3-31 12:30,-32.81,-56.52,80.35,86,20,4.05
13,Mnogovershinnyy,RU,2019-3-31 12:30,53.94,139.92,8.44,78,36,2.26
14,Tiksi,RU,2019-3-31 12:25,71.64,128.87,19.15,76,80,6.29
15,Mar del Plata,AR,2019-3-31 12:22,-46.43,-67.52,75.94,28,0,11.21
16,Rikitea,PF,2019-3-31 12:22,-23.12,-134.97,76.66,100,56,19.48
17,Zyryanka,RU,2019-3-31 12:30,65.73,150.89,-1.64,58,0,2.37
18,Chapais,CA,2019-3-31 11:56,49.78,-74.86,26.6,73,90,12.75
19,Faya,SA,2019-3-31 12:0,18.39,42.45,66.2,39,0,10.29
20,Valparaiso,US,2019-3-31 12:25,41.47,-87.06,37.0,40,90,13.87
21,Hermon,GB,2019-3-31 12:30,51.96,-4.61,54.0,62,56,5.82
